rr_min,stop_strategy,ma_partial,ma_full,cagr,sharpe,sortino,mdd,calmar,trades,win_rate,avg_r,profit_factor,total_ret
5.0,gradual,10,200,3.07,0.556,0.412,11.52,0.266,79,32.91,4.079,4.495,54.19
2.5,gradual,60,200,7.37,0.553,0.66,30.24,0.244,371,24.26,1.665,1.685,177.31
3.0,direct,10,20,3.26,0.552,0.485,20.34,0.16,374,31.82,0.884,1.487,58.47
4.5,gradual,20,200,3.67,0.551,0.461,12.28,0.299,94,24.47,3.729,3.477,67.62
4.0,direct,5,10,2.04,0.544,0.309,8.49,0.241,175,37.14,1.295,1.832,33.66
3.0,direct,5,10,2.8,0.544,0.491,18.04,0.155,387,35.92,0.803,1.415,48.64
4.0,none,5,200,4.29,0.542,0.653,14.28,0.301,162,47.53,1.876,2.255,82.76
4.5,direct,20,200,3.58,0.542,0.451,11.98,0.298,98,22.45,3.491,3.545,65.5
4.0,gradual,10,200,3.84,0.541,0.556,13.65,0.281,169,31.36,1.92,2.607,71.65
3.5,direct,10,60,3.27,0.541,0.454,13.58,0.241,237,24.47,1.532,1.814,58.6
3.0,direct,50,200,6.53,0.54,0.553,32.5,0.201,314,15.92,1.851,2.038,147.67
4.5,direct,50,200,4.33,0.538,0.461,15.59,0.278,93,17.2,4.204,4.1,83.58
2.5,gradual,20,200,6.16,0.537,0.654,27.77,0.222,425,26.59,1.478,1.582,135.75
4.5,gradual,50,200,4.35,0.536,0.462,14.56,0.298,88,19.32,4.493,3.932,84.04
4.5,none,30,200,3.89,0.535,0.573,14.36,0.271,102,40.2,2.882,2.724,72.96
3.5,gradual,50,200,5.43,0.534,0.577,19.63,0.277,199,18.59,2.623,2.336,113.44
5.0,gradual,5,200,2.88,0.534,0.394,12.0,0.24,81,33.33,3.787,4.549,50.32
5.0,direct,10,200,2.85,0.533,0.39,11.28,0.253,83,26.51,3.747,4.564,49.73
3.5,gradual,30,200,4.99,0.532,0.563,16.44,0.303,213,20.66,2.327,2.181,100.95
4.5,direct,10,200,3.18,0.53,0.46,12.9,0.246,106,26.42,3.104,3.29,56.58
4.0,direct,5,200,3.45,0.526,0.496,14.03,0.246,173,25.43,1.798,2.53,62.6
4.5,gradual,10,200,3.17,0.525,0.456,13.27,0.239,103,30.1,3.191,3.18,56.41
2.5,gradual,30,200,6.17,0.524,0.642,27.82,0.222,411,26.03,1.35,1.585,136.02
3.5,none,50,200,5.8,0.517,0.602,20.27,0.286,210,32.86,2.339,1.849,124.32
4.5,direct,5,200,3.07,0.517,0.449,12.84,0.239,110,26.36,2.892,3.152,54.31
4.5,direct,60,200,4.26,0.515,0.437,18.28,0.233,92,17.39,4.05,4.026,81.79
3.0,gradual,50,200,6.43,0.515,0.553,31.48,0.204,295,20.0,2.067,1.974,144.33
2.5,direct,50,200,6.12,0.515,0.602,31.76,0.193,407,20.64,1.362,1.684,134.46
5.0,direct,5,200,2.72,0.514,0.376,12.21,0.222,87,26.44,3.43,4.236,46.88
4.5,gradual,60,200,4.27,0.513,0.438,17.44,0.245,86,18.6,4.372,3.887,82.12
5.0,gradual,20,200,2.95,0.507,0.363,10.85,0.272,73,27.4,4.397,4.37,51.84
4.0,none,10,200,4.04,0.506,0.607,14.45,0.279,162,46.3,1.767,2.141,76.41
4.5,gradual,5,200,3.02,0.506,0.441,13.26,0.228,104,29.81,3.036,3.079,53.13
4.5,none,60,200,4.04,0.505,0.535,14.7,0.275,100,40.0,3.093,2.668,76.44
4.0,direct,20,200,3.63,0.505,0.455,14.02,0.259,159,20.75,1.955,2.58,66.85
3.0,direct,60,200,6.16,0.505,0.517,33.29,0.185,310,14.84,1.772,1.983,135.55
5.0,gradual,50,200,3.72,0.503,0.377,13.84,0.269,69,20.29,5.368,5.298,68.79
4.5,none,20,200,3.45,0.503,0.538,14.29,0.241,102,42.16,2.656,2.516,62.59
3.5,gradual,60,200,5.11,0.496,0.529,21.22,0.241,194,18.04,2.533,2.25,104.43
3.5,none,5,200,4.47,0.494,0.594,15.89,0.281,214,42.52,1.96,1.825,87.21
4.5,none,50,200,3.75,0.494,0.524,15.92,0.236,102,39.22,2.828,2.617,69.56
3.5,direct,50,200,4.53,0.492,0.473,19.01,0.238,204,14.22,2.303,2.16,88.82
3.5,none,60,200,5.56,0.488,0.569,22.05,0.252,209,33.49,2.371,1.769,117.18
3.5,direct,30,200,4.2,0.487,0.459,17.9,0.235,218,15.6,2.079,2.039,80.51
2.5,direct,60,200,5.87,0.487,0.569,35.89,0.164,408,19.36,1.315,1.635,126.58
3.5,none,10,200,4.37,0.481,0.576,15.42,0.284,212,41.04,1.972,1.787,84.76
4.0,direct,10,200,3.13,0.48,0.451,14.21,0.22,170,24.12,1.723,2.39,55.58
2.5,gradual,10,200,5.43,0.479,0.581,27.21,0.2,449,31.85,1.288,1.538,113.55
5.0,direct,20,200,2.69,0.478,0.336,10.59,0.254,77,22.08,3.937,4.396,46.29
5.0,direct,50,200,3.4,0.475,0.347,14.31,0.238,73,15.07,4.821,5.074,61.58
3.0,gradual,30,200,5.24,0.473,0.506,26.34,0.199,315,22.86,1.766,1.774,107.99
3.0,gradual,60,200,5.92,0.473,0.505,32.86,0.18,288,18.75,1.999,1.888,128.18
5.0,gradual,60,200,3.47,0.466,0.344,16.15,0.215,68,19.12,5.061,4.998,63.11
2.5,gradual,5,200,5.18,0.466,0.564,26.94,0.192,462,32.9,1.184,1.523,106.37
3.0,direct,30,200,4.83,0.463,0.47,27.02,0.179,330,17.27,1.584,1.761,96.64
3.5,direct,5,20,2.02,0.458,0.322,14.66,0.138,246,31.71,1.058,1.496,33.14
4.5,none,5,200,2.77,0.457,0.511,10.82,0.256,102,50.0,2.422,2.382,47.98
3.5,direct,60,200,4.28,0.457,0.434,21.75,0.197,202,13.86,2.185,2.084,82.29
3.0,gradual,5,200,4.11,0.444,0.492,27.16,0.151,357,30.81,1.316,1.651,78.23
5.0,direct,60,200,3.2,0.443,0.318,16.41,0.195,73,15.07,4.498,4.821,57.06
4.5,none,10,200,2.69,0.44,0.491,10.74,0.251,102,47.06,2.33,2.301,46.41
5.0,none,30,200,2.73,0.433,0.433,11.14,0.245,81,43.21,2.906,2.568,47.1
3.5,gradual,20,200,3.49,0.431,0.445,14.96,0.233,222,23.42,1.594,1.833,63.59
5.0,none,10,200,2.36,0.431,0.45,10.47,0.225,81,51.85,2.622,2.457,39.74
3.0,direct,20,200,4.11,0.428,0.433,26.32,0.156,336,19.94,1.135,1.662,78.12
2.5,direct,30,200,4.46,0.428,0.503,29.33,0.152,426,20.66,1.128,1.468,86.91
2.5,direct,20,200,4.32,0.426,0.498,28.63,0.151,438,22.15,1.082,1.447,83.49
3.0,gradual,20,200,4.28,0.425,0.455,25.14,0.17,324,25.62,1.296,1.662,82.28
5.0,none,5,200,2.26,0.42,0.44,10.39,0.218,81,55.56,2.629,2.436,37.79
3.5,gradual,5,200,2.98,0.417,0.443,14.79,0.201,244,27.46,1.302,1.729,52.33
3.0,gradual,10,200,3.87,0.414,0.451,23.76,0.163,348,29.31,1.156,1.603,72.29
3.0,direct,5,200,3.66,0.414,0.432,25.48,0.144,367,24.52,1.056,1.596,67.53
3.0,direct,10,200,3.63,0.405,0.422,25.59,0.142,354,22.32,1.06,1.596,66.69
5.0,none,50,200,2.55,0.388,0.388,12.32,0.207,81,39.51,2.784,2.409,43.56
3.5,gradual,10,200,2.78,0.387,0.41,15.07,0.184,236,27.97,1.338,1.677,48.08
5.0,none,60,200,2.63,0.384,0.382,13.26,0.198,81,39.51,2.923,2.353,45.03
5.0,none,20,200,2.23,0.382,0.382,11.48,0.194,81,44.44,2.594,2.267,37.19
3.5,direct,10,20,1.66,0.375,0.262,16.26,0.102,239,29.71,1.033,1.409,26.59
2.5,direct,5,200,3.43,0.372,0.443,28.43,0.121,471,27.81,0.892,1.373,62.31
2.5,direct,10,200,3.41,0.363,0.433,27.94,0.122,463,25.49,0.925,1.37,61.85
3.5,direct,5,200,2.36,0.359,0.343,16.72,0.141,241,22.82,1.225,1.596,39.7
3.5,direct,20,200,2.51,0.349,0.319,17.58,0.143,222,17.57,1.323,1.623,42.63
3.5,direct,5,10,1.35,0.345,0.231,14.83,0.091,242,33.47,0.914,1.328,21.13
3.5,direct,10,200,1.98,0.307,0.292,18.07,0.11,236,21.19,1.164,1.502,32.48
