ticker,entry_date,exit_date,entry,exit,shares,pnl,r_multiple,hold_days,reason,regime
URBN,2025-07-23,2025-08-28,75.95,69.874,160.3761,-974.45,-1.0,36,STOP,UPTREND
BKNG,2025-05-16,2025-09-23,5227.0785,5485.9849,2.2479,582.0,0.619,130,F4_FAIL,UPTREND
SMTC,2025-09-18,2025-09-25,63.44,58.3648,192.6844,-977.91,-1.0,7,STOP,UPTREND
RCL,2025-06-04,2025-10-06,264.5349,314.5455,44.7454,2237.74,2.363,124,F4_FAIL,UPTREND
CG,2025-09-05,2025-10-09,64.5853,59.4185,189.5393,-979.32,-1.0,34,STOP,UPTREND
FSLR,2025-09-24,2025-10-22,217.5,217.5,56.4211,0.0,0.0,28,STOP,UPTREND
SMTC,2025-09-29,2025-10-22,63.69,63.69,189.8417,0.0,0.0,23,STOP,UPTREND
PRLB,2025-08-25,2025-10-31,50.68,50.68,239.9638,0.0,0.0,67,STOP,UPTREND
TTWO,2025-10-16,2025-11-07,262.72,241.7024,47.4904,-998.13,-1.0,22,STOP,UPTREND
AMAT,2025-10-27,2025-11-14,232.2545,213.6742,52.2565,-970.94,-1.0,18,STOP,UPTREND
IBM,2025-11-12,2025-11-18,318.0765,292.6304,37.1863,-946.25,-1.0,6,STOP,UPTREND
GAP,2025-11-25,2025-11-25,25.0761,25.0761,472.1307,0.0,0.0,0,STOP,UPTREND
COKE,2025-12-08,2025-12-29,167.021,153.6593,72.3566,-966.81,-1.0,21,STOP,UPTREND
VIAV,2026-01-07,2026-01-08,18.58,17.0936,652.6918,-970.16,-1.0,1,STOP,UPTREND
BFH,2026-01-07,2026-01-12,79.8476,73.4598,151.8769,-970.16,-1.0,5,STOP,UPTREND
AVGO,2025-07-17,2026-01-13,280.1231,354.61,43.2925,3224.72,3.324,180,F4_FAIL,UPTREND
TNL,2026-01-09,2026-01-22,75.39,71.94,158.2519,-545.97,-0.572,13,F3_FAIL,UPTREND
LUV,2026-01-09,2026-01-29,44.0099,44.0099,271.0894,0.0,0.0,20,STOP,UPTREND
IBKR,2026-01-28,2026-02-05,75.8485,69.7806,157.3284,-954.65,-1.0,8,STOP,UPTREND
EME,2026-02-09,2026-02-26,761.43,761.43,16.9822,0.0,0.0,17,STOP,UPTREND
MCHP,2026-01-22,2026-03-03,78.5475,72.2637,157.1672,-987.61,-1.0,40,STOP,UPTREND
DIOD,2026-02-18,2026-03-06,68.56,63.0752,194.5737,-1067.2,-1.0,16,STOP,UPTREND
FIVE,2025-07-15,2026-03-18,134.5,212.47,90.5114,7057.17,7.246,246,FORCE_CLOSE,UPTREND
FORM,2026-01-05,2026-03-18,60.73,96.18,197.048,6985.35,7.297,72,FORCE_CLOSE,UPTREND
TER,2026-01-09,2026-03-18,215.6498,300.07,55.324,4670.46,4.893,68,FORCE_CLOSE,UPTREND
